,season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain
0,2021,1254117,CSK v KKR,CSK,KKR,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,Shakib Al Hasan,Shakib Al Hasan,3.0,0,33,0,11.0,6,2,3,0,0,False
1,2021,1254117,CSK v KKR,CSK,KKR,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,Shivam Mavi,Shivam Mavi,4.0,0,32,1,8.0,8,1,2,0,0,False
2,2021,1254117,CSK v KKR,CSK,KKR,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,LH Ferguson,Lockie Ferguson,4.0,0,56,0,14.0,4,7,2,2,0,False
3,2021,1254117,CSK v KKR,CSK,KKR,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,CV Varun,Varun Chakravarthy,4.0,0,38,0,9.5,5,2,2,0,1,False
4,2021,1254117,CSK v KKR,CSK,KKR,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,SP Narine,Sunil Narine,4.0,0,26,2,6.5,6,0,1,1,0,False
5,2021,1254117,CSK v KKR,CSK,KKR,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,VR Iyer,Venkatesh Iyer,1.0,0,5,0,5.0,2,0,0,0,0,False
6,2021,1254117,CSK v KKR,CSK,KKR,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,DL Chahar,Deepak Chahar,4.0,0,32,1,8.0,10,4,1,1,0,False
7,2021,1254117,CSK v KKR,CSK,KKR,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,JR Hazlewood,Josh Hazlewood,4.0,0,29,2,7.25,10,2,1,2,0,False
8,2021,1254117,CSK v KKR,CSK,KKR,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,SN Thakur,Shardul Thakur,4.0,0,38,3,9.5,11,3,1,4,1,False
9,2021,1254117,CSK v KKR,CSK,KKR,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,DJ Bravo,Dwayne Bravo,4.0,0,29,1,7.25,9,1,2,0,0,False
10,2021,1254117,CSK v KKR,CSK,KKR,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,RA Jadeja,Ravindra Jadeja,4.0,0,37,2,9.25,9,3,2,1,0,False
11,2021,1254116,DC v KKR,DC,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,Shakib Al Hasan,Shakib Al Hasan,4.0,0,28,0,7.0,9,2,1,1,0,False
12,2021,1254116,DC v KKR,DC,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,LH Ferguson,Lockie Ferguson,4.0,0,26,1,6.5,11,1,2,0,0,False
13,2021,1254116,DC v KKR,DC,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,SP Narine,Sunil Narine,4.0,0,27,0,6.75,9,0,2,1,0,False
14,2021,1254116,DC v KKR,DC,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,CV Varun,Varun Chakravarthy,4.0,0,26,2,6.5,7,2,0,0,1,False
15,2021,1254116,DC v KKR,DC,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,Shivam Mavi,Shivam Mavi,4.0,0,27,1,6.75,9,1,1,1,0,False
16,2021,1254116,DC v KKR,DC,KKR,DC,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,A Nortje,Anrich Nortje,4.0,0,31,2,7.75,10,2,1,1,0,False
17,2021,1254116,DC v KKR,DC,KKR,DC,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,R Ashwin,Ravichandran Ashwin,3.5,0,27,2,7.04,7,1,1,1,0,False
18,2021,1254116,DC v KKR,DC,KKR,DC,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,Avesh Khan,Avesh Khan,4.0,0,22,1,5.5,9,1,0,0,0,False
19,2021,1254116,DC v KKR,DC,KKR,DC,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,AR Patel,Axar Patel,4.0,0,32,0,8.0,8,0,3,1,0,False
20,2021,1254116,DC v KKR,DC,KKR,DC,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,K Rabada,Kagiso Rabada,4.0,0,23,2,5.75,13,1,1,2,0,False
21,2021,1254115,RCB v KKR,RCB,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,Shakib Al Hasan,Shakib Al Hasan,4.0,0,24,0,6.0,6,2,0,0,0,False
22,2021,1254115,RCB v KKR,RCB,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,Shivam Mavi,Shivam Mavi,4.0,0,36,0,9.0,8,4,0,2,2,False
23,2021,1254115,RCB v KKR,RCB,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,CV Varun,Varun Chakravarthy,4.0,0,20,0,5.0,7,0,0,0,0,False
24,2021,1254115,RCB v KKR,RCB,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,LH Ferguson,Lockie Ferguson,4.0,0,30,2,7.5,8,4,0,1,0,False
25,2021,1254115,RCB v KKR,RCB,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,SP Narine,Sunil Narine,4.0,0,21,4,5.25,11,2,0,1,0,False
26,2021,1254115,RCB v KKR,RCB,KKR,RCB,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,Mohammed Siraj,Mohammed Siraj,4.0,0,19,2,4.75,10,1,0,0,0,False
27,2021,1254115,RCB v KKR,RCB,KKR,RCB,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,GHS Garton,George Garton,3.0,0,29,0,9.66,4,3,1,0,0,False
28,2021,1254115,RCB v KKR,RCB,KKR,RCB,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,HV Patel,Harshal Patel,4.0,0,19,2,4.75,10,1,0,1,0,False
29,2021,1254115,RCB v KKR,RCB,KKR,RCB,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,YS Chahal,Yuzvendra Chahal,4.0,0,16,2,4.0,8,0,0,0,0,False
30,2021,1254115,RCB v KKR,RCB,KKR,RCB,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,GJ Maxwell,Glenn Maxwell,3.0,0,25,0,8.33,4,2,1,0,0,False
31,2021,1254115,RCB v KKR,RCB,KKR,RCB,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,DT Christian,Dan Christian,1.4,0,29,0,17.4,1,1,3,2,0,False
32,2021,1254114,DC v CSK,DC,CSK,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,DL Chahar,Deepak Chahar,3.0,0,26,0,8.66,5,4,0,1,0,False
33,2021,1254114,DC v CSK,DC,CSK,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,JR Hazlewood,Josh Hazlewood,4.0,0,29,2,7.25,13,4,1,0,0,False
34,2021,1254114,DC v CSK,DC,CSK,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,SN Thakur,Shardul Thakur,3.0,0,36,0,12.0,5,1,3,2,0,False
35,2021,1254114,DC v CSK,DC,CSK,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,RA Jadeja,Ravindra Jadeja,3.0,0,23,1,7.66,4,3,0,0,0,False
36,2021,1254114,DC v CSK,DC,CSK,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,MM Ali,Moeen Ali,4.0,0,27,1,6.75,5,0,1,1,0,False
37,2021,1254114,DC v CSK,DC,CSK,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,DJ Bravo,Dwayne Bravo,3.0,0,31,1,10.33,4,3,1,2,0,False
38,2021,1254114,DC v CSK,DC,CSK,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,A Nortje,Anrich Nortje,4.0,0,31,1,7.75,7,4,0,0,0,False
39,2021,1254114,DC v CSK,DC,CSK,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,Avesh Khan,Avesh Khan,4.0,0,47,1,11.75,8,5,3,1,0,False
40,2021,1254114,DC v CSK,DC,CSK,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,K Rabada,Kagiso Rabada,3.0,0,23,0,7.66,5,1,1,0,0,False
41,2021,1254114,DC v CSK,DC,CSK,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,AR Patel,Axar Patel,3.0,0,23,0,7.66,7,2,1,0,0,False
42,2021,1254114,DC v CSK,DC,CSK,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,TK Curran,Tom Curran,3.4,0,29,3,7.9,6,3,0,2,0,False
43,2021,1254114,DC v CSK,DC,CSK,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,R Ashwin,Ravichandran Ashwin,2.0,0,19,0,9.5,0,2,0,0,0,False
44,2021,1254101,RCB v DC,RCB,DC,RCB,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,GJ Maxwell,Glenn Maxwell,3.0,0,29,0,9.66,3,2,1,2,0,False
45,2021,1254101,RCB v DC,RCB,DC,RCB,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,Mohammed Siraj,Mohammed Siraj,4.0,0,25,2,6.25,11,4,0,0,0,False
46,2021,1254101,RCB v DC,RCB,DC,RCB,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,GHS Garton,George Garton,3.0,0,20,0,6.66,6,2,0,0,1,False
47,2021,1254101,RCB v DC,RCB,DC,RCB,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,YS Chahal,Yuzvendra Chahal,4.0,0,34,1,8.5,5,1,2,0,0,False
48,2021,1254101,RCB v DC,RCB,DC,RCB,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,HV Patel,Harshal Patel,4.0,0,34,1,8.5,8,1,2,3,0,False
49,2021,1254101,RCB v DC,RCB,DC,RCB,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,DT Christian,Dan Christian,2.0,0,19,1,9.5,5,2,1,0,0,False
