,season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,shortText
0,2021,1254117,CSK v KKR,CSK,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,CSK,1,RD Gaikwad,Ruturaj Gaikwad,32.0,27.0,41,3.0,1.0,118.51,False,False,"{'wickets': 1, 'runs': 61}",c Shivam Mavi b Narine
1,2021,1254117,CSK v KKR,CSK,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,CSK,1,F du Plessis,Faf du Plessis,86.0,59.0,104,7.0,3.0,145.76,False,False,"{'wickets': 3, 'runs': 192}",c Iyer b Shivam Mavi
2,2021,1254117,CSK v KKR,CSK,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,CSK,1,RV Uthappa,Robin Uthappa,31.0,15.0,26,0.0,3.0,206.66,False,False,"{'wickets': 2, 'runs': 124}",lbw b Narine
3,2021,1254117,CSK v KKR,CSK,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,CSK,1,MM Ali,Moeen Ali,37.0,20.0,36,2.0,3.0,185,False,True,{},not out
4,2021,1254117,CSK v KKR,CSK,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KKR,2,Shubman Gill,Shubman Gill,51.0,43.0,74,6.0,0.0,118.6,False,False,"{'wickets': 4, 'runs': 108}",lbw b Chahar
5,2021,1254117,CSK v KKR,CSK,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KKR,2,VR Iyer,Venkatesh Iyer,50.0,32.0,56,5.0,3.0,156.25,False,False,"{'wickets': 1, 'runs': 91}",c Jadeja b Thakur
6,2021,1254117,CSK v KKR,CSK,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KKR,2,N Rana,Nitish Rana,0.0,1.0,3,0.0,0.0,0,False,False,"{'wickets': 2, 'runs': 93}",c du Plessis b Thakur
7,2021,1254117,CSK v KKR,CSK,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KKR,2,SP Narine,Sunil Narine,2.0,2.0,6,0.0,0.0,100,False,False,"{'wickets': 3, 'runs': 97}",c Jadeja b Hazlewood
8,2021,1254117,CSK v KKR,CSK,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KKR,2,EJG Morgan,Eoin Morgan,4.0,8.0,32,0.0,0.0,50,True,False,"{'wickets': 8, 'runs': 125}",c Chahar b Hazlewood
9,2021,1254117,CSK v KKR,CSK,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KKR,2,KD Karthik,Dinesh Karthik,9.0,7.0,8,0.0,1.0,128.57,False,False,"{'wickets': 5, 'runs': 119}",c Rayudu b Jadeja
10,2021,1254117,CSK v KKR,CSK,KKR,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KKR,2,Shakib Al Hasan,Shakib Al Hasan,0.0,1.0,7,0.0,0.0,0,False,False,"{'wickets': 6, 'runs': 120}",lbw b Jadeja
